rank,title,authors,publication_type,published_date,publication,doi,url,abstract_snippet
166,Do Prompt Patterns Affect Code Quality? A First Empirical Assessment of ChatGPT-Generated Code,Antonio Della Porta; Stefano Lambiase; Fabio Palomba,research-article,December 2025,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3756681.3756938,https://dl.acm.org/doi/10.1145/3756681.3756938,"Large Language Models (LLMs) have rapidly transformed software development, especially in code generation. However, their inconsistent performance, prone to hallucinations and quality issues, complicates program comprehension and hinders maintainability. ..."
167,EASE Companion '25: Proceedings of the 2025 29th International Conference on Evaluation and Assessment in Software Engineering Companion,Muhammad Ali Babar; Ayşe Tosun; Stefan Wagner; Viktoria Stray,proceeding,December 2025,,10.1145/3727967,https://dl.acm.org/doi/proceedings/10.1145/3727967,
168,ICPP Workshops '25: Workshop Proceedings of the 54th International Conference on Parallel Processing,,proceeding,December 2025,,10.1145/3750720,https://dl.acm.org/doi/proceedings/10.1145/3750720,
169,CISAI '25: Proceedings of the 2025 8th International Conference on Computer Information Science and Artificial Intelligence,,proceeding,December 2025,,10.1145/3773365,https://dl.acm.org/doi/proceedings/10.1145/3773365,
170,ISAIE '25: Proceedings of the 2025 2nd International Symposium on Artificial Intelligence for Education,,proceeding,December 2025,,10.1145/3775073,https://dl.acm.org/doi/proceedings/10.1145/3775073,
171,An Assessment of LLM-Based Auditing and Validation for Web Accessibility,Barry Bassi; Giovanni Delnevo; Mirko Franco; Ombretta Gaggi; Salvatore Gatto; Silvia Mirri; Kelvin Olaiya,research-article,December 2025,GoodIT '25: Proceedings of the 2025 International Conference on Information Technology for Social Good,10.1145/3748699.3749805,https://dl.acm.org/doi/10.1145/3748699.3749805,"Accessibility constitutes a fundamental right codified in national and international legislation and the SDGs. In particular, web accessibility is essential to enable people with disabilities to engage fully in societal and professional activities. ..."
172,GoodIT '25: Proceedings of the 2025 International Conference on Information Technology for Social Good,,proceeding,December 2025,,10.1145/3748699,https://dl.acm.org/doi/proceedings/10.1145/3748699,
173,Experiences and Insights Gained from AI-Assisted Programming Instruction in Higher Education,Haoshun Cao,research-article,December 2025,AIEE '25: Proceedings of the 2025 International Conference on AI-enabled Education,10.1145/3768421.3768449,https://dl.acm.org/doi/10.1145/3768421.3768449,"The technological advancement represented by Artificial Intelligence Generated Content (AIGC) is fundamentally transforming higher education, particularly in the field of Computer Science (CS). CS programming education, centered on courses such as Data ..."
174,AIEE '25: Proceedings of the 2025 International Conference on AI-enabled Education,,proceeding,December 2025,,10.1145/3768421,https://dl.acm.org/doi/proceedings/10.1145/3768421,
175,"IPICE '25: Proceedings of the 2025 2nd International Conference on Image Processing, Intelligent Control and Computer Engineering",,proceeding,December 2025,,10.1145/3768184,https://dl.acm.org/doi/proceedings/10.1145/3768184,
176,ETAIC '25: Proceedings of the 2025 International Conference on Educational Technology and Artificial Intelligence,,proceeding,November 2025,,10.1145/3766557,https://dl.acm.org/doi/proceedings/10.1145/3766557,
177,An Empirical Study Measuring In-The-Wild Cryptographic Microarchitectural Side-Channel Patches,Sen Deng; Zhibo Liu; Shuai Wang; Yinqian Zhang,research-article,November 2025,CCS '25: Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3719027.3744881,https://dl.acm.org/doi/10.1145/3719027.3744881,"Patching microarchitectural side channels in real-world cryptographic software is a challenging task that does not always result in efficient and secure patches. Despite the continuous efforts of researchers and developers, the security and performance ..."
178,CCS '25: Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,Chun-Ying Huang; Jyh-Cheng Chen; Shiuh-Pyng Shieh; David Lie; Véronique Cortier,proceeding,November 2025,,10.1145/3719027,https://dl.acm.org/doi/proceedings/10.1145/3719027,"On behalf of the ACM CCS 2025 Organizing Committee, we warmly welcome you to the 32nd ACM SIGSAC Conference on Computer and Communications Security (CCS). We are delighted that, for the first time, ACM CCS is being held in Taipei, Taiwan. This year’s ..."
179,"SC Workshops '25: Proceedings of the SC '25 Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",,proceeding,November 2025,,10.1145/3731599,https://dl.acm.org/doi/proceedings/10.1145/3731599,
180,Koli Calling '25: Proceedings of the 25th Koli Calling International Conference on Computing Education Research,Juho Leinonen; Rodrigo Duran,proceeding,November 2025,,10.1145/3769994,https://dl.acm.org/doi/proceedings/10.1145/3769994,
181,Bridging Traditional Machine Learning and Large Language Models: A Two-Part Course Design for Modern AI Education,Fang Li,article,November 2025,"Journal of Computing Sciences in Colleges (JCSC), Volume 41, Issue 5",,https://dl.acm.org/doi/10.5555/3799943.3799970,This paper presents an innovative pedagogical approach for teaching artificial intelligence and data science that systematically bridges traditional machine learning techniques with modern Large Language Models (LLMs). We describe a course structured in ...
182,EKI '25: Proceedings of the 2025 3rd International Conference on Educational Knowledge and Informatization,,proceeding,November 2025,,10.1145/3765325,https://dl.acm.org/doi/proceedings/10.1145/3765325,
183,Exploring Typo Squatting Threats in the Hugging Face Ecosystem,Ningyuan Li; Yanjie Zhao; Shenao Wang; Zehao Wu; Haoyu Wang,research-article,October 2025,Internetware '25: Proceedings of the 16th International Conference on Internetware,10.1145/3755881.3755921,https://dl.acm.org/doi/10.1145/3755881.3755921,"With the rapid advancement of artificial intelligence, pre-trained models (PTMs) have become fundamental building blocks in modern software systems. Model hubs, serving as centralized repositories for these components, have emerged as critical ..."
184,Internetware '25: Proceedings of the 16th International Conference on Internetware,Hong Mei; Jian Lv; Zhi Jin; Xuandong Li; Thomas Zimmermann; Ge Li; Lei Bu; Xin Xia,proceeding,October 2025,,10.1145/3755881,https://dl.acm.org/doi/proceedings/10.1145/3755881,
185,BLVDIFF: Supporting BLV Developers with Differential Debugging Tools,Rylan Sedlacek; Prashant Chandrasekar,poster,October 2025,ASSETS '25: Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,10.1145/3663547.3759716,https://dl.acm.org/doi/10.1145/3663547.3759716,Traditional tools and development environments provide little support for tracking how code changes may have introduced new errors. This lack of support forces blind and low-vision (BLV) developers to manually sift through verbose error output using ...
186,ASSETS '25: Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,Shaun Kane; Kristen Shinohara; Cynthia Bennett; Martez Mott,proceeding,October 2025,,10.1145/3663547,https://dl.acm.org/doi/proceedings/10.1145/3663547,
187,ACM REP '25: Proceedings of the 3rd ACM Conference on Reproducibility and Replicability,,proceeding,October 2025,,10.1145/3736731,https://dl.acm.org/doi/proceedings/10.1145/3736731,
188,CompEd 2025: Proceedings of the ACM Global Computing Education Conference 2025 - Volume 1,Ethel Tshukudu; Michelle Craig; Samuel Mann,proceeding,October 2025,,10.1145/3736181,https://dl.acm.org/doi/proceedings/10.1145/3736181,"Welcome to ACM SIGCSE CompEd 2025. It is my great honor to welcome you to the 3rd ACM Global Computing Education Conference (CompEd 2025), which is being held in Gaborone, Botswana. The Working Groups are meeting on October 21-22, the Doctoral Consortium ..."
189,Leveraging Large Language Models for Collective Decision-Making,Marios Papachristou; Longqi Yang; Chin-Chia Hsu,research-article,October 2025,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 9, Issue 7",10.1145/3757418,https://dl.acm.org/doi/10.1145/3757418,"In various work contexts, such as meeting scheduling, collaborating, and project planning, collective decision-making is essential but often challenging due to diverse individual preferences, varying work focuses, and power dynamics among members. To ..."
190,Programming Language Techniques for Bridging LLM Code Generation Semantic Gaps,Yalong Du; Chaozheng Wang; Huaijin Wang,research-article,October 2025,LMPL '25: Proceedings of the 1st ACM SIGPLAN International Workshop on Language Models and Programming Languages,10.1145/3759425.3763383,https://dl.acm.org/doi/10.1145/3759425.3763383,"Large Language Models have demonstrated remarkable capabilities in automated code generation, yet their statistical nature and black-box characteristics create significant semantic gaps manifested through syntax errors, semantic hallucinations, and ..."
191,Mapping the Trust Terrain: LLMs in Software Engineering - Insights and Perspectives,Dipin Khati; Yijin Liu; David N. Palacio; Yixuan Zhang; Denys Poshyvanyk,survey,October 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3771282,https://dl.acm.org/doi/10.1145/3771282,"The application of Large Language Models (LLMs) in Software Engineering (SE) continues to grow rapidly across both industry and academia. As these models become integral to critical SE processes, ensuring their reliability and trustworthiness becomes ..."
192,SPLASH-E '25: Proceedings of the 2025 ACM SIGPLAN International Symposium on SPLASH-E,Martin Henz; Felienne Hermans; Daniel Patterson,proceeding,October 2025,,10.1145/3758317,https://dl.acm.org/doi/proceedings/10.1145/3758317,"Welcome to the SPLASH-E 2025, the SPLASH community’s annual symposium on software engineering and programming languages in education! Programming languages are fundamental tools used throughout computer science curricula, and so it is fruitful to ..."
193,LMPL '25: Proceedings of the 1st ACM SIGPLAN International Workshop on Language Models and Programming Languages,Claire Le Goues; Sergey Mechtaev; Qingkai Shi; Chengpeng Wang; He Ye; Zhuo Zhang,proceeding,October 2025,,10.1145/3759425,https://dl.acm.org/doi/proceedings/10.1145/3759425,"Welcome to the 1st International Workshop on Language Models and Programming Languages (LMPL 2025), held in Singapore, 15 October 2025, co-located with ICFP/SPLASH 2025. LMPL brings together the programming-languages and machine-learning communities to ..."
194,Domain Specialization as the Key to Make Large Language Models Disruptive: A Comprehensive Survey,Chen Ling; Xujiang Zhao; Jiaying Lu; Chengyuan Deng; Can Zheng; Junxiang Wang; Tanmoy Chowdhury; Yun Li; Hejie Cui; Xuchao Zhang; Tianjiao Zhao; Amit Panalkar; Dhagash Mehta; Stefano Pasquali; Wei Cheng; Haoyu Wang; Yanchi Liu; Zhengzhang Chen; Haifeng Chen; Chris White; Quanquan Gu; Jian Pei; Carl Yang; Liang Zhao,survey,October 2025,"ACM Computing Surveys (CSUR), Volume 58, Issue 3",10.1145/3764579,https://dl.acm.org/doi/10.1145/3764579,"Large language models (LLMs) have significantly advanced the field of natural language processing (NLP), providing a highly useful, task-agnostic foundation for a wide range of applications. However, directly applying LLMs to solve sophisticated problems ..."
195,ContrastRepair: Enhancing Conversation-Based Automated Program Repair via Contrastive Test Case Pairs,Jiaolong Kong; Xiaofei Xie; Mingfei Cheng; Shangqing Liu; Xiaoning Du; Qi Guo,research-article,October 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 8",10.1145/3719345,https://dl.acm.org/doi/10.1145/3719345,"Automated Program Repair (APR) aims to automatically generate patches for rectifying software bugs. Recent strides in Large Language Models (LLM), such as ChatGPT, have yielded encouraging outcomes in APR, especially within the conversation-driven APR ..."
